Level1ProcessMBCO	JI
Cytoskeleton dynamics	0.0967741935483871
Cytoskeleton dynamics	0.07692307692307693
Cytoskeleton dynamics	0.08333333333333333
Cytoskeleton dynamics	0.1282051282051282
Cell junction dynamics	0.09090909090909091
Cell junction dynamics	0.10600706713780919
Cell junction dynamics	0.14018691588785046
Cell junction dynamics	0.20833333333333334
Cell junction dynamics	0.0
Cell junction dynamics	0.21739130434782608
Cell junction dynamics	0.0
Cell junction dynamics	0.09848484848484848
Cell junction dynamics	0.46153846153846156
Cellular protrusion organization	0.3170731707317073
Cellular protrusion organization	0.02666666666666667
Cellular protrusion organization	0.02666666666666667
Cellular protrusion organization	0.0
Cellular contraction	0.0
Cellular contraction	0.0
Cellular contraction	0.02702702702702703
Cellular contraction	0.0967741935483871
Intracellular degradation pathways	0.0
Intracellular degradation pathways	0.0
Intracellular degradation pathways	0.0
Intracellular degradation pathways	0.004694835680751174
Intracellular degradation pathways	0.0
Intracellular degradation pathways	0.0
Energy generation and metabolism of cellular monomers	0.0
Energy generation and metabolism of cellular monomers	0.25
Energy generation and metabolism of cellular monomers	0.0
Energy generation and metabolism of cellular monomers	0.0
Amino acid metabolism	0.7272727272727273
Cellular redox homeostasis	0.13636363636363635
Lipid metabolism	0.17288135593220338
Lipid metabolism	0.2909090909090909
Lipid metabolism	0.0
Lipid metabolism	0.3333333333333333
Lipid metabolism	0.7
Lipid metabolism	0.02127659574468085
Lipid metabolism	0.16129032258064516
Lipid metabolism	0.09574468085106383
Lipid metabolism	0.0
Lipid metabolism	0.10227272727272728
Lipid metabolism	0.0
Lipid metabolism	0.0
Lipid metabolism	0.024242424242424242
Lipid metabolism	0.07303370786516854
Lipid metabolism	0.203125
Lipid metabolism	0.3333333333333333
Lipid metabolism	0.4473684210526316
Lipid metabolism	0.0
Lipid metabolism	0.0
Lipid metabolism	0.15315315315315314
Lipid metabolism	0.0
Lipid metabolism	0.3
Lipid metabolism	0.0
Lipid metabolism	0.4444444444444444
Lipid metabolism	0.16666666666666666
Iron, heme and hemoglobin homeostasis	0.0
Iron, heme and hemoglobin homeostasis	0.0
Regulation of cell differentiation	0.0
Regulation of cell differentiation	0.0
Regulation of cell differentiation	0.0
